dmc,e168,Silver,7
dmc,e301,Copper,7
dmc,e317,Titanium,7
dmc,e677,White Gold,7
dmc,e3821,Light Gold,7
dmc,e3852,Dark Gold,7
dmc,e130,Gemstones,7 
dmc,e135,Golden Dawn,7
dmc,e155,Amethyst,7 
dmc,e316,Pink Amethyst,7
dmc,e321,Red Ruby,7
dmc,e334,Blue Topaz,7 
dmc,e699,Green Emerald,7 
dmc,e703,Light Green Emerald,7
dmc,e718,Pink Garnet,7     
dmc,e815,Dark Red Ruby,7
dmc,e825,Blue Sapphire,7
dmc,e3837,Purple Ruby,7 
dmc,e3843,Light Blue Sapphire,7
dmc,e3849,Aquamarine Blue,7 
dmc,e310,Ebony,7
dmc,e415,Pewter,7
dmc,e436,Golden Oak,7
dmc,e898,Dark Oak,7
dmc,e3685,Rosewoord,7
dmc,e211,Lilac,7 
dmc,e746,Cream,7
dmc,e747,Baby Blue,7 
dmc,e818,Soft Pink,7 
dmc,e966,Lime,7 
dmc,e967,Soft Peach,7
dmc,e3747,Sky Blue,7 
dmc,e5200,White,7 
dmc,e980,Neon Yellow,7 
dmc,e990,Neon Green,7 
dmc,e940,Glow-in-the-dark,7
dmc,4000,Espresso,6 
dmc,4010,Winter Sky,6 
dmc,4015,Stormy Skys,6
dmc,4017,Polar Ice,6
dmc,4020,Tropical Waters,6 
dmc,4022,Mediterranean Sea,6
dmc,4025,Caribbean Bay,6
dmc,4030,Monet's Garden,6 
dmc,4040,Water Lillies,6
dmc,4042,Very Merry,6
dmc,4045,Evergreen Forest,6
dmc,4047,Emerald Isle,6
dmc,4050,Roaming Pastures,6
dmc,4060,Weeping Willow,6 
dmc,4065,Morning Meadow,6
dmc,4066,Amazon Moss,6
dmc,4068,Camouflage,6
dmc,4069,Margarita,6
dmc,4070,Autumn Leaves,6
dmc,4072,Toasted Almond,6
dmc,4073,Buttercup,6
dmc,4075,Wheat Field,6
dmc,4077,Morning Sunshine,6 
dmc,4080,Daffodil Fields,6
dmc,4090,Golden Oasis,6 
dmc,4095,Cupcakes,6
dmc,4100,Summer Breeze,6
dmc,4110,Sunrise,6 
dmc,4120,Tropical Sunset,6
dmc,4122,Fall Harvest,6
dmc,4124,Bonfire,6 
dmc,4126,Desert Canyon,6
dmc,4128,Gold Coast,6 
dmc,4129,Peanut Brittle,6
dmc,4130,Chilean Sunset,6
dmc,4135,Terra Cotta,6
dmc,4140,Driftwood,6 
dmc,4145,Sand Dune,6
dmc,4150,Desert Sand,6
dmc,4160,Glistening Pearl,6 
dmc,4170,Whispering Wind,6
dmc,4180,Rose Petals,6 
dmc,4190,Ocean Coral,6
dmc,4200,Wild Fire,6
dmc,4205,Caliente,6
dmc,4210,Radiant Ruby,6
dmc,4211,Azaliea,6
dmc,4212,Mixed Berries,6
dmc,4214,Cotton Candy,6
dmc,4215,Northern Lights,6 
dmc,4220,Lavender Fields,6
dmc,4230,Crystal Waters,6 
dmc,4235,Artic Sea,6
dmc,4237,Laguna Blue,6
dmc,4240,Mid Summer Nights,6
dmc,4245,Mystical Midnight,6
dmc,4250,Berry Parfait,6
dmc,4255,Orchid,6
dmc,4260,Enchanted,6
dmc,4265,Purple Pansy,6
dmc,White,White,0 
dmc,Ecru,Ecru,0 
dmc,B5200,Snow White,0 
dmc,150,Ultra V DK Dusty Rose,0
dmc,151,V LT Dusty Rose,0 
dmc,152,MD LT Shell Pink,0 
dmc,153,V LT Violet,0 
dmc,154,V DK Grape,0 
dmc,155,MD DK Blue Violet,0
dmc,156,MD LT Blue Violet,0 
dmc,157,V LT Cornflower Blue,0 
dmc,158,MD V DK Cornflower Blue,0 
dmc,159,LT Gray Blue,0 
dmc,160,MD Gray Blue,0 
dmc,161,Gray Blue,0 
dmc,162,Ultra V LT Blue,0 
dmc,163,MD Celadon Green,0 
dmc,164,LT Forest Green,0 
dmc,165,V LT Moss Green,0 
dmc,166,MD LT Moss Green,0 
dmc,167,V DK Yellow Beige,0 
dmc,168,V LT Pewter,0 
dmc,169,LT Pewter,0 
dmc,208,V DK LaVender,0 
dmc,209,DK LaVender,0 
dmc,210,MD LaVender,0 
dmc,211,LT LaVender,0 
dmc,221,V DK Shell Pink,0 
dmc,223,LT Shell Pink,0 
dmc,224,V LT Shell Pink,0 
dmc,225,Ultra V LT Shell Pink,0 
dmc,300,V DK Mahogany,0
dmc,301,MD Mahogany,0 
dmc,304,MD Red,0 
dmc,307,Lemon,0 
dmc,309,DK Rose,0 
dmc,310,Black,0 
dmc,311,MD Navy Blue,0 
dmc,312,V DK Baby Blue,0 
dmc,315,MD DK Antique Mauve,0 
dmc,316,MD Antique MauVe,0 
dmc,317,Pewter Gray,0 
dmc,318,LT Steel Gray,0 
dmc,319,V DKPistachio Green,0 
dmc,320,MD Pistachio Green,0 
dmc,321,Red,0 
dmc,322,DK DK Baby Blue,0 
dmc,326,V DK Rose,0 
dmc,327,DK Violet,0 
dmc,333,V DK Blue Violet,0 
dmc,334,MD Baby Blue,0 
dmc,335,Rose,0 
dmc,336,NaVy Blue,0 
dmc,340,MD Blue Violet,0 
dmc,341,LT Blue Violet,0 
dmc,347,V DK Salmon,0 
dmc,349,DK Coral,0
dmc,350,MD Coral,0 
dmc,351,Coral,0 
dmc,352,LT Coral,0 
dmc,353,Peach,0 
dmc,355,DK Terra Cotta,0 
dmc,356,MD Terra Cotta,0 
dmc,367,DK Pistachio Green,0 
dmc,368,LT Pistachio Green,0 
dmc,369,V LT Pistachio Green,0 
dmc,370,MD Mustard,0
dmc,371,Mustard,0 
dmc,372,LT Mustard,0 
